"Week","date2014","date2015","date2016","date2017","date2018","date2019","basis2019","basis2018","basis2017","basis2016","basis2015","basis2014","City","Company"
17,2014-05-07,2015-05-06,2016-05-04,2017-05-03,2018-05-02,2019-05-01,-0.3475,-0.32,NA,NA,NA,NA,"CENTER    MO","ADM"
18,2014-05-14,2015-05-13,2016-05-11,2017-05-10,2018-05-09,2019-05-08,-0.3175,-0.3175,NA,NA,NA,NA,"CENTER    MO","ADM"
19,2014-05-21,2015-05-20,2016-05-18,2017-05-17,2018-05-16,2019-05-15,-0.355,-0.3175,NA,NA,NA,NA,"CENTER    MO","ADM"
20,2014-05-28,2015-05-27,2016-05-25,2017-05-24,2018-05-23,2019-05-22,-0.4025,-0.2363,NA,NA,NA,NA,"CENTER    MO","ADM"
21,2014-06-04,2015-06-03,2016-06-01,2017-06-07,2018-06-06,2019-06-05,-0.2775,-0.3425,NA,NA,NA,NA,"CENTER    MO","ADM"
22,2014-06-11,2015-06-10,2016-06-08,2017-06-14,2018-06-13,2019-06-12,-0.26,-0.34,NA,NA,NA,NA,"CENTER    MO","ADM"
23,2014-06-18,2015-06-17,2016-06-15,2017-06-21,2018-06-20,2019-06-19,-0.2325,-0.285,NA,NA,NA,NA,"CENTER    MO","ADM"
24,2014-06-25,2015-06-24,2016-06-22,2017-06-28,2018-06-27,2019-06-26,-0.2325,-0.245,NA,NA,NA,NA,"CENTER    MO","ADM"
25,2014-07-02,2015-07-01,2016-07-06,2017-07-05,2018-07-04,2019-07-03,-0.2275,-0.2525,NA,NA,NA,NA,"CENTER    MO","ADM"
26,2014-07-09,2015-07-08,2016-07-13,2017-07-12,2018-07-11,2019-07-10,-0.165,-0.28,NA,NA,NA,NA,"CENTER    MO","ADM"
27,2014-07-16,2015-07-15,2016-07-20,2017-07-19,2018-07-18,2019-07-17,-0.255,-0.2325,NA,NA,NA,NA,"CENTER    MO","ADM"
28,2014-07-23,2015-07-22,2016-07-27,2017-07-26,2018-07-25,2019-07-24,-0.305,-0.2775,NA,NA,NA,NA,"CENTER    MO","ADM"
29,2014-08-06,2015-08-05,2016-08-03,2017-08-02,2018-08-01,2019-08-07,-0.47,-0.415,NA,NA,NA,NA,"CENTER    MO","ADM"
30,2014-08-13,2015-08-12,2016-08-10,2017-08-09,2018-08-08,2019-08-14,-0.345,-0.4075,NA,NA,NA,NA,"CENTER    MO","ADM"
31,2014-08-20,2015-08-19,2016-08-17,2017-08-16,2018-08-15,2019-08-21,-0.195,-0.395,NA,NA,NA,NA,"CENTER    MO","ADM"
32,2014-08-27,2015-08-26,2016-08-24,2017-08-23,2018-08-22,2019-08-28,-0.3575,-0.4325,NA,NA,NA,NA,"CENTER    MO","ADM"
33,2014-09-03,2015-09-02,2016-09-07,2017-09-06,2018-09-05,2019-09-04,-0.545,-0.56,NA,NA,NA,NA,"CENTER    MO","ADM"
34,2014-09-10,2015-09-09,2016-09-14,2017-09-13,2018-09-12,2019-09-11,-0.615,-0.51,NA,NA,NA,NA,"CENTER    MO","ADM"
35,2014-09-17,2015-09-16,2016-09-21,2017-09-20,2018-09-19,2019-09-18,-0.6475,-0.54,NA,NA,NA,NA,"CENTER    MO","ADM"
36,2014-09-24,2015-09-23,2016-09-28,2017-09-27,2018-09-26,2019-09-25,-0.5925,-0.44,NA,NA,NA,NA,"CENTER    MO","ADM"
37,2014-10-01,2015-10-07,2016-10-05,2017-10-04,2018-10-03,2019-10-02,-0.3975,-0.665,NA,NA,NA,NA,"CENTER    MO","ADM"
38,2014-10-08,2015-10-14,2016-10-12,2017-10-11,2018-10-10,2019-10-09,-0.4175,-0.5425,NA,NA,NA,NA,"CENTER    MO","ADM"
39,2014-10-15,2015-10-21,2016-10-19,2017-10-18,2018-10-17,2019-10-16,-0.32,-0.5875,NA,NA,NA,NA,"CENTER    MO","ADM"
40,2014-10-22,2015-10-28,2016-10-26,2017-10-25,2018-10-24,2019-10-23,-0.3175,-0.6763,NA,NA,NA,NA,"CENTER    MO","ADM"
41,2014-11-05,2015-11-04,2016-11-02,2017-11-01,2018-11-07,2019-11-06,NA,-0.545,NA,NA,NA,NA,"CENTER    MO","ADM"
42,2014-11-12,2015-11-11,2016-11-09,2017-11-08,2018-11-14,2019-11-13,NA,-0.425,NA,NA,NA,NA,"CENTER    MO","ADM"
43,2014-11-19,2015-11-18,2016-11-16,2017-11-15,2018-11-21,2019-11-20,NA,-0.45,NA,NA,NA,NA,"CENTER    MO","ADM"
44,2014-11-26,2015-11-25,2016-11-23,2017-11-22,2018-11-28,2019-11-27,NA,-0.445,NA,NA,NA,NA,"CENTER    MO","ADM"
45,2014-12-03,2015-12-02,2016-12-07,2017-12-06,2018-12-05,2019-12-04,NA,-0.545,NA,NA,NA,NA,"CENTER    MO","ADM"
46,2014-12-10,2015-12-09,2016-12-14,2017-12-13,2018-12-12,2019-12-11,NA,-0.63,NA,NA,NA,NA,"CENTER    MO","ADM"
47,2014-12-17,2015-12-16,2016-12-21,2017-12-20,2018-12-19,2019-12-18,NA,-0.44,NA,NA,NA,NA,"CENTER    MO","ADM"
48,2014-12-24,2015-12-23,2016-12-28,2017-12-27,2018-12-26,2019-12-25,NA,-0.4,NA,NA,NA,NA,"CENTER    MO","ADM"
1,2014-01-01,2015-01-07,2016-01-06,2017-01-04,2018-01-03,2019-01-02,NA,NA,-0.3225,0.0625,-0.1625,-0.04,"CENTER MO","ADM QUINCY"
2,2014-01-08,2015-01-14,2016-01-13,2017-01-11,2018-01-10,2019-01-09,NA,NA,-0.005,0.06,-0.2225,-0.0425,"CENTER MO","ADM QUINCY"
3,2014-01-15,2015-01-21,2016-01-20,2017-01-18,2018-01-17,2019-01-16,NA,NA,-0.5025,0.06,NA,-0.08,"CENTER MO","ADM QUINCY"
4,2014-01-22,2015-01-28,2016-01-27,2017-01-25,2018-01-24,2019-01-23,NA,NA,-0.455,-0.07,-0.1925,-0.17,"CENTER MO","ADM QUINCY"
5,2014-02-05,2015-02-04,2016-02-03,2017-02-01,2018-02-07,2019-02-06,NA,NA,NA,-0.0975,-0.11,-0.0325,"CENTER MO","ADM QUINCY"
6,2014-02-12,2015-02-11,2016-02-10,2017-02-08,2018-02-14,2019-02-13,NA,NA,NA,-0.07,-0.0975,-0.17,"CENTER MO","ADM QUINCY"
7,2014-02-19,2015-02-18,2016-02-17,2017-02-15,2018-02-21,2019-02-20,NA,NA,NA,-0.075,0.0325,-0.1725,"CENTER MO","ADM QUINCY"
8,2014-02-26,2015-02-25,2016-02-24,2017-02-22,2018-02-28,2019-02-27,NA,NA,NA,-0.1275,-0.0475,-0.1625,"CENTER MO","ADM QUINCY"
9,2014-03-05,2015-03-04,2016-03-02,2017-03-01,2018-03-07,2019-03-06,NA,NA,-0.4375,-0.224,-0.0625,-0.165,"CENTER MO","ADM QUINCY"
10,2014-03-12,2015-03-11,2016-03-09,2017-03-08,2018-03-14,2019-03-13,NA,NA,-0.4375,-0.1875,-0.1275,-0.26,"CENTER MO","ADM QUINCY"
11,2014-03-19,2015-03-18,2016-03-16,2017-03-15,2018-03-21,2019-03-20,NA,NA,-0.38,-0.115,-0.11,-0.2025,"CENTER MO","ADM QUINCY"
12,2014-03-26,2015-03-25,2016-03-23,2017-03-22,2018-03-28,2019-03-27,NA,NA,-0.3788,-0.1863,-0.1075,-0.08,"CENTER MO","ADM QUINCY"
13,2014-04-02,2015-04-01,2016-04-06,2017-04-05,2018-04-04,2019-04-03,NA,NA,-0.3425,-0.26,-0.1075,-0.1725,"CENTER MO","ADM QUINCY"
14,2014-04-09,2015-04-08,2016-04-13,2017-04-12,2018-04-11,2019-04-10,NA,NA,-0.2875,-0.2275,-0.105,-0.1525,"CENTER MO","ADM QUINCY"
15,2014-04-16,2015-04-15,2016-04-20,2017-04-19,2018-04-18,2019-04-17,NA,NA,-0.2925,-0.1075,-0.03,-0.0775,"CENTER MO","ADM QUINCY"
16,2014-04-23,2015-04-22,2016-04-27,2017-04-26,2018-04-25,2019-04-24,NA,NA,-0.2375,-0.16,0.005,-0.1063,"CENTER MO","ADM QUINCY"
17,2014-05-07,2015-05-06,2016-05-04,2017-05-03,2018-05-02,2019-05-01,NA,NA,-0.3225,-0.37,0.065,-0.0525,"CENTER MO","ADM QUINCY"
18,2014-05-14,2015-05-13,2016-05-11,2017-05-10,2018-05-09,2019-05-08,NA,NA,-0.2325,-0.3825,0.0675,0.1325,"CENTER MO","ADM QUINCY"
19,2014-05-21,2015-05-20,2016-05-18,2017-05-17,2018-05-16,2019-05-15,NA,NA,-0.206,-0.3525,0.0875,0.0475,"CENTER MO","ADM QUINCY"
20,2014-05-28,2015-05-27,2016-05-25,2017-05-24,2018-05-23,2019-05-22,NA,NA,-0.1963,-0.265,0.12,0.05,"CENTER MO","ADM QUINCY"
21,2014-06-04,2015-06-03,2016-06-01,2017-06-07,2018-06-06,2019-06-05,NA,NA,-0.1575,-0.2275,0.1475,-0.105,"CENTER MO","ADM QUINCY"
22,2014-06-11,2015-06-10,2016-06-08,2017-06-14,2018-06-13,2019-06-12,NA,NA,-0.2375,-0.3475,0.075,-0.115,"CENTER MO","ADM QUINCY"
23,2014-06-18,2015-06-17,2016-06-15,2017-06-21,2018-06-20,2019-06-19,NA,NA,-0.2575,-0.23,0.09,-0.17,"CENTER MO","ADM QUINCY"
24,2014-06-25,2015-06-24,2016-06-22,2017-06-28,2018-06-27,2019-06-26,NA,NA,-0.2,-0.035,0.0625,-0.0175,"CENTER MO","ADM QUINCY"
25,2014-07-02,2015-07-01,2016-07-06,2017-07-05,2018-07-04,2019-07-03,NA,NA,-0.2875,NA,0.0725,0.8225,"CENTER MO","ADM QUINCY"
26,2014-07-09,2015-07-08,2016-07-13,2017-07-12,2018-07-11,2019-07-10,NA,NA,-0.3675,-0.0175,0.2825,0.765,"CENTER MO","ADM QUINCY"
27,2014-07-16,2015-07-15,2016-07-20,2017-07-19,2018-07-18,2019-07-17,NA,NA,-0.2175,0.0675,0.1575,0.4675,"CENTER MO","ADM QUINCY"
28,2014-07-23,2015-07-22,2016-07-27,2017-07-26,2018-07-25,2019-07-24,NA,NA,-0.1275,0.0325,0.1862,0.3475,"CENTER MO","ADM QUINCY"
29,2014-08-06,2015-08-05,2016-08-03,2017-08-02,2018-08-01,2019-08-07,NA,NA,-0.16,0.075,0.4225,2.275,"CENTER MO","ADM QUINCY"
30,2014-08-13,2015-08-12,2016-08-10,2017-08-09,2018-08-08,2019-08-14,NA,NA,-0.08,0.105,0.135,1.215,"CENTER MO","ADM QUINCY"
31,2014-08-20,2015-08-19,2016-08-17,2017-08-16,2018-08-15,2019-08-21,NA,NA,-0.0575,0.045,0.115,1.1025,"CENTER MO","ADM QUINCY"
32,2014-08-27,2015-08-26,2016-08-24,2017-08-23,2018-08-22,2019-08-28,NA,NA,-0.135,-0.0687,0.22,0.8625,"CENTER MO","ADM QUINCY"
33,2014-09-03,2015-09-02,2016-09-07,2017-09-06,2018-09-05,2019-09-04,NA,NA,-0.41,-0.335,NA,1.18,"CENTER MO","ADM QUINCY"
34,2014-09-10,2015-09-09,2016-09-14,2017-09-13,2018-09-12,2019-09-11,NA,NA,-0.495,-0.1675,NA,0.4325,"CENTER MO","ADM QUINCY"
35,2014-09-17,2015-09-16,2016-09-21,2017-09-20,2018-09-19,2019-09-18,NA,NA,-0.47,-0.075,NA,1.675,"CENTER MO","ADM QUINCY"
36,2014-09-24,2015-09-23,2016-09-28,2017-09-27,2018-09-26,2019-09-25,NA,NA,-0.705,0.065,NA,-0.3675,"CENTER MO","ADM QUINCY"
37,2014-10-01,2015-10-07,2016-10-05,2017-10-04,2018-10-03,2019-10-02,NA,NA,-0.3225,NA,-0.19,-0.5675,"CENTER MO","ADM QUINCY"
38,2014-10-08,2015-10-14,2016-10-12,2017-10-11,2018-10-10,2019-10-09,NA,NA,-0.5625,NA,-0.185,-0.32,"CENTER MO","ADM QUINCY"
39,2014-10-15,2015-10-21,2016-10-19,2017-10-18,2018-10-17,2019-10-16,NA,NA,-0.5625,NA,-0.25,-0.325,"CENTER MO","ADM QUINCY"
40,2014-10-22,2015-10-28,2016-10-26,2017-10-25,2018-10-24,2019-10-23,NA,NA,-0.605,NA,-0.175,-0.5487,"CENTER MO","ADM QUINCY"
41,2014-11-05,2015-11-04,2016-11-02,2017-11-01,2018-11-07,2019-11-06,NA,NA,-0.6025,-0.655,-0.06,-0.6025,"CENTER MO","ADM QUINCY"
42,2014-11-12,2015-11-11,2016-11-09,2017-11-08,2018-11-14,2019-11-13,NA,NA,-0.505,-0.67,0.0125,-0.5875,"CENTER MO","ADM QUINCY"
43,2014-11-19,2015-11-18,2016-11-16,2017-11-15,2018-11-21,2019-11-20,NA,NA,-0.3925,-0.4375,0.0125,-0.4875,"CENTER MO","ADM QUINCY"
44,2014-11-26,2015-11-25,2016-11-23,2017-11-22,2018-11-28,2019-11-27,NA,NA,-0.3588,-0.4625,-0.0125,-0.29,"CENTER MO","ADM QUINCY"
45,2014-12-03,2015-12-02,2016-12-07,2017-12-06,2018-12-05,2019-12-04,NA,NA,-0.4075,-0.39,-0.0025,-0.2225,"CENTER MO","ADM QUINCY"
46,2014-12-10,2015-12-09,2016-12-14,2017-12-13,2018-12-12,2019-12-11,NA,NA,NA,-0.23,-0.0075,-0.25,"CENTER MO","ADM QUINCY"
47,2014-12-17,2015-12-16,2016-12-21,2017-12-20,2018-12-19,2019-12-18,NA,NA,NA,-0.2275,0.035,-0.27,"CENTER MO","ADM QUINCY"
48,2014-12-24,2015-12-23,2016-12-28,2017-12-27,2018-12-26,2019-12-25,NA,NA,NA,-0.2375,0.0137,-0.3375,"CENTER MO","ADM QUINCY"
1,2014-01-01,2015-01-07,2016-01-06,2017-01-04,2018-01-03,2019-01-02,-0.75,-0.7475,-0.8025,-0.1875,-0.4125,-0.23,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
2,2014-01-08,2015-01-14,2016-01-13,2017-01-11,2018-01-10,2019-01-09,-0.75,-0.75,-0.805,-0.11,-0.4025,-0.2025,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
3,2014-01-15,2015-01-21,2016-01-20,2017-01-18,2018-01-17,2019-01-16,-0.745,-0.7475,-0.8025,-0.25,-0.375,-0.19,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
4,2014-01-22,2015-01-28,2016-01-27,2017-01-25,2018-01-24,2019-01-23,-0.75,-0.65,-0.755,-0.25,-0.4025,-0.215,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
5,2014-02-05,2015-02-04,2016-02-03,2017-02-01,2018-02-07,2019-02-06,-0.7475,-0.6,NA,-0.2475,-0.36,-0.0225,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
6,2014-02-12,2015-02-11,2016-02-10,2017-02-08,2018-02-14,2019-02-13,-0.755,-0.6025,-0.7475,-0.25,-0.3475,-0.2,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
7,2014-02-19,2015-02-18,2016-02-17,2017-02-15,2018-02-21,2019-02-20,-0.745,-0.6525,-0.7525,-0.255,-0.2975,-0.3025,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
8,2014-02-26,2015-02-25,2016-02-24,2017-02-22,2018-02-28,2019-02-27,-0.655,-0.65,-0.7475,-0.2475,-0.2975,-0.3025,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
9,2014-03-05,2015-03-04,2016-03-02,2017-03-01,2018-03-07,2019-03-06,-0.75,-0.7525,-0.8475,-0.374,-0.3425,-0.305,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
10,2014-03-12,2015-03-11,2016-03-09,2017-03-08,2018-03-14,2019-03-13,-0.75,-0.7525,-0.7475,-0.3475,-0.3475,-0.32,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
11,2014-03-19,2015-03-18,2016-03-16,2017-03-15,2018-03-21,2019-03-20,-0.745,-0.7475,-0.75,-0.345,-0.35,-0.3025,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
12,2014-03-26,2015-03-25,2016-03-23,2017-03-22,2018-03-28,2019-03-27,-0.745,-0.75,-0.7488,-0.3513,-0.3475,-0.3,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
13,2014-04-02,2015-04-01,2016-04-06,2017-04-05,2018-04-04,2019-04-03,-0.6975,-0.6525,-0.6025,-0.4,-0.2975,-0.2025,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
14,2014-04-09,2015-04-08,2016-04-13,2017-04-12,2018-04-11,2019-04-10,-0.7,-0.6475,-0.7475,-0.3975,NA,-0.2325,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
15,2014-04-16,2015-04-15,2016-04-20,2017-04-19,2018-04-18,2019-04-17,-0.7,-0.6475,-0.7525,-0.3075,NA,-0.1975,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
16,2014-04-23,2015-04-22,2016-04-27,2017-04-26,2018-04-25,2019-04-24,-0.7025,-0.645,-0.6975,-0.55,-0.205,-0.2113,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
17,2014-05-07,2015-05-06,2016-05-04,2017-05-03,2018-05-02,2019-05-01,-0.8275,-0.74,-0.7525,-0.6,-0.195,-0.0025,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
18,2014-05-14,2015-05-13,2016-05-11,2017-05-10,2018-05-09,2019-05-08,-0.8275,-0.7375,-0.7525,-0.6525,-0.2025,0.0025,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
19,2014-05-21,2015-05-20,2016-05-18,2017-05-17,2018-05-16,2019-05-15,-0.825,-0.5475,-0.746,-0.6525,-0.2025,-0.0025,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
20,2014-05-28,2015-05-27,2016-05-25,2017-05-24,2018-05-23,2019-05-22,-0.7925,-0.5513,-0.7013,-0.645,-0.2,0,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
21,2014-06-04,2015-06-03,2016-06-01,2017-06-07,2018-06-06,2019-06-05,-0.7475,-0.5525,-0.6475,-0.6475,-0.1425,-0.005,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
22,2014-06-11,2015-06-10,2016-06-08,2017-06-14,2018-06-13,2019-06-12,-0.75,-0.55,-0.6475,-0.7475,-0.155,-0.375,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
23,2014-06-18,2015-06-17,2016-06-15,2017-06-21,2018-06-20,2019-06-19,-0.7525,-0.555,-0.6475,-0.75,-0.15,-0.27,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
24,2014-06-25,2015-06-24,2016-06-22,2017-06-28,2018-06-27,2019-06-26,-0.7525,-0.545,-0.55,-0.745,-0.1475,-0.2875,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
25,2014-07-02,2015-07-01,2016-07-06,2017-07-05,2018-07-04,2019-07-03,-0.7975,-0.4525,-0.4975,-0.605,-0.1975,0.4125,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
26,2014-07-09,2015-07-08,2016-07-13,2017-07-12,2018-07-11,2019-07-10,-0.805,-0.45,-0.5475,-0.5975,-0.0275,0.185,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
27,2014-07-16,2015-07-15,2016-07-20,2017-07-19,2018-07-18,2019-07-17,-0.805,-0.4525,-0.6475,-0.4325,-0.2025,0.2475,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
28,2014-07-23,2015-07-22,2016-07-27,2017-07-26,2018-07-25,2019-07-24,-0.7,-0.4475,-0.6475,-0.3875,-0.1988,0.2525,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
29,2014-08-06,2015-08-05,2016-08-03,2017-08-02,2018-08-01,2019-08-07,-0.72,-0.445,-0.58,-0.585,-0.0975,1.335,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
30,2014-08-13,2015-08-12,2016-08-10,2017-08-09,2018-08-08,2019-08-14,-0.725,-0.4475,-0.55,-0.545,-0.085,1.185,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
31,2014-08-20,2015-08-19,2016-08-17,2017-08-16,2018-08-15,2019-08-21,-0.725,NA,-0.5475,-0.545,-0.095,0.6825,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
32,2014-08-27,2015-08-26,2016-08-24,2017-08-23,2018-08-22,2019-08-28,-0.6675,-0.4775,-0.55,-0.6387,0,0.8825,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
33,2014-09-03,2015-09-02,2016-09-07,2017-09-06,2018-09-05,2019-09-04,-0.795,NA,-0.65,-0.445,-0.65,NA,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
34,2014-09-10,2015-09-09,2016-09-14,2017-09-13,2018-09-12,2019-09-11,-0.805,NA,-0.645,-0.6475,-0.6525,NA,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
35,2014-09-17,2015-09-16,2016-09-21,2017-09-20,2018-09-19,2019-09-18,-0.7975,NA,-0.8,-0.645,-0.6625,-0.755,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
36,2014-09-24,2015-09-23,2016-09-28,2017-09-27,2018-09-26,2019-09-25,-0.8025,NA,-0.805,-0.655,-0.6488,-0.7475,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
37,2014-10-01,2015-10-07,2016-10-05,2017-10-04,2018-10-03,2019-10-02,NA,NA,-0.8025,-0.7475,-0.65,-0.8475,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
38,2014-10-08,2015-10-14,2016-10-12,2017-10-11,2018-10-10,2019-10-09,NA,NA,-0.8025,-0.745,-0.495,-0.85,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
39,2014-10-15,2015-10-21,2016-10-19,2017-10-18,2018-10-17,2019-10-16,NA,NA,-0.8025,-0.755,-0.5,-0.845,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
40,2014-10-22,2015-10-28,2016-10-26,2017-10-25,2018-10-24,2019-10-23,NA,NA,-0.795,-0.75,-0.505,-0.8787,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
41,2014-11-05,2015-11-04,2016-11-02,2017-11-01,2018-11-07,2019-11-06,NA,NA,-0.8025,-0.905,-0.47,-0.8325,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
42,2014-11-12,2015-11-11,2016-11-09,2017-11-08,2018-11-14,2019-11-13,NA,NA,-0.905,-0.9,-0.3975,-0.8075,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
43,2014-11-19,2015-11-18,2016-11-16,2017-11-15,2018-11-21,2019-11-20,NA,NA,-0.9025,-0.8975,-0.3475,-0.8975,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
44,2014-11-26,2015-11-25,2016-11-23,2017-11-22,2018-11-28,2019-11-27,NA,NA,-0.7988,-0.9025,-0.3525,-0.75,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
45,2014-12-03,2015-12-02,2016-12-07,2017-12-06,2018-12-05,2019-12-04,NA,-0.805,-0.7475,-0.85,-0.3525,-0.5925,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
46,2014-12-10,2015-12-09,2016-12-14,2017-12-13,2018-12-12,2019-12-11,NA,-0.75,-0.7525,-0.85,-0.3775,-0.6,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
47,2014-12-17,2015-12-16,2016-12-21,2017-12-20,2018-12-19,2019-12-18,NA,-0.75,-0.75,-0.8475,-0.345,-0.6,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
48,2014-12-24,2015-12-23,2016-12-28,2017-12-27,2018-12-26,2019-12-25,NA,-0.75,-0.755,-0.8475,-0.3463,-0.5925,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
1,2014-01-01,2015-01-07,2016-01-06,2017-01-04,2018-01-03,2019-01-02,-0.75,-0.7475,-0.8025,-0.1875,-0.4125,-0.23,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
2,2014-01-08,2015-01-14,2016-01-13,2017-01-11,2018-01-10,2019-01-09,-0.75,-0.75,-0.805,-0.11,-0.4025,-0.2025,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
3,2014-01-15,2015-01-21,2016-01-20,2017-01-18,2018-01-17,2019-01-16,-0.745,-0.7475,-0.8025,-0.25,-0.375,-0.19,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
4,2014-01-22,2015-01-28,2016-01-27,2017-01-25,2018-01-24,2019-01-23,-0.75,-0.65,-0.755,-0.25,-0.4025,-0.215,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
5,2014-02-05,2015-02-04,2016-02-03,2017-02-01,2018-02-07,2019-02-06,-0.7475,-0.6,NA,-0.2475,-0.36,-0.0225,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
6,2014-02-12,2015-02-11,2016-02-10,2017-02-08,2018-02-14,2019-02-13,-0.755,-0.6025,-0.7475,-0.25,-0.3475,-0.2,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
7,2014-02-19,2015-02-18,2016-02-17,2017-02-15,2018-02-21,2019-02-20,-0.745,-0.6525,-0.7525,-0.255,-0.2975,-0.3025,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
8,2014-02-26,2015-02-25,2016-02-24,2017-02-22,2018-02-28,2019-02-27,-0.655,-0.65,-0.7475,-0.2475,-0.2975,-0.3025,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
9,2014-03-05,2015-03-04,2016-03-02,2017-03-01,2018-03-07,2019-03-06,-0.75,-0.7525,-0.8475,-0.374,-0.3425,-0.305,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
10,2014-03-12,2015-03-11,2016-03-09,2017-03-08,2018-03-14,2019-03-13,-0.75,-0.7525,-0.7475,-0.3475,-0.3475,-0.32,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
11,2014-03-19,2015-03-18,2016-03-16,2017-03-15,2018-03-21,2019-03-20,-0.745,-0.7475,-0.75,-0.345,-0.35,-0.3025,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
12,2014-03-26,2015-03-25,2016-03-23,2017-03-22,2018-03-28,2019-03-27,-0.745,-0.75,-0.7488,-0.3513,-0.3475,-0.3,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
13,2014-04-02,2015-04-01,2016-04-06,2017-04-05,2018-04-04,2019-04-03,-0.6975,-0.6525,-0.6025,-0.4,-0.2975,-0.2025,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
14,2014-04-09,2015-04-08,2016-04-13,2017-04-12,2018-04-11,2019-04-10,-0.7,-0.6475,-0.7475,-0.3975,NA,-0.2325,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
15,2014-04-16,2015-04-15,2016-04-20,2017-04-19,2018-04-18,2019-04-17,-0.7,-0.6475,-0.7525,-0.3075,NA,-0.1975,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
16,2014-04-23,2015-04-22,2016-04-27,2017-04-26,2018-04-25,2019-04-24,-0.7025,-0.645,-0.6975,-0.55,-0.205,-0.2113,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
17,2014-05-07,2015-05-06,2016-05-04,2017-05-03,2018-05-02,2019-05-01,-0.8275,-0.74,-0.7525,-0.6,-0.195,-0.0025,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
18,2014-05-14,2015-05-13,2016-05-11,2017-05-10,2018-05-09,2019-05-08,-0.8275,-0.7375,-0.7525,-0.6525,-0.2025,0.0025,"CENTERVIEW MO","WEST CENTRAL AGRI SERVICE"
